backend,mode,repeat,warmup,tick,frames,wall_ms
taew2_2,typed,0,True,34,12,305.4571091197431
taew2_2,typed,1,False,0,9,1421.537194866687
taew2_2,typed,1,False,1,12,312.4716109596193
taew2_2,typed,1,False,2,12,298.313545063138
taew2_2,typed,1,False,3,12,307.1282389573753
taew2_2,typed,1,False,4,12,301.2868487276137
taew2_2,typed,1,False,5,12,297.5032776594162
taew2_2,typed,1,False,6,12,299.61343575268984
taew2_2,typed,1,False,7,12,301.77688878029585
taew2_2,typed,1,False,8,12,298.2130250893533
taew2_2,typed,1,False,9,12,301.88052309677005
taew2_2,typed,1,False,10,12,299.43975107744336
taew2_2,typed,1,False,11,12,303.0086481012404
taew2_2,typed,1,False,12,12,299.9270190484822
taew2_2,typed,1,False,13,12,323.0069959536195
taew2_2,typed,1,False,14,12,305.69794960319996
taew2_2,typed,1,False,15,12,308.7754282169044
taew2_2,typed,1,False,16,12,304.7133320942521
taew2_2,typed,1,False,17,12,304.6742849983275
taew2_2,typed,1,False,18,12,310.9011063352227
taew2_2,typed,1,False,19,12,316.3833199068904
taew2_2,typed,1,False,20,12,324.2469201795757
taew2_2,typed,1,False,21,12,324.162342119962
taew2_2,typed,1,False,22,12,325.10228687897325
taew2_2,typed,1,False,23,12,337.7208150923252
taew2_2,typed,1,False,24,12,316.46340014413
taew2_2,typed,1,False,25,12,338.20651983842254
taew2_2,typed,1,False,26,12,336.63676399737597
taew2_2,typed,1,False,27,12,332.6750290580094
taew2_2,typed,1,False,28,12,307.81190004199743
taew2_2,typed,1,False,29,12,313.3778409101069
taew2_2,typed,1,False,30,12,314.27569873631
taew2_2,typed,1,False,31,12,322.93436396867037
taew2_2,typed,1,False,32,12,311.9166330434382
taew2_2,typed,1,False,33,12,312.7339780330658
taew2_2,typed,1,False,34,12,312.15236568823457
taew2_2,typed,2,False,0,9,1407.2228888981044
taew2_2,typed,2,False,1,12,293.33242680877447
taew2_2,typed,2,False,2,12,292.8624199703336
taew2_2,typed,2,False,3,12,294.899916741997
